,count,mean,std,min,25%,50%,75%,max,Missing,Skewness
Left_Mean_Speed,103.0,0.023728792139720796,0.00701442202778545,0.0107996264597389,0.01867310577292025,0.0226634676009556,0.02761798537869045,0.0431974438355846,0,0.8157387827921454
Left_Median_Speed,103.0,0.014069105831273125,0.003283353657631153,0.0033318310874126,0.0132948688855111,0.0138286620466334,0.015466291067956151,0.0251430807560111,0,-0.3112577669816815
Left_Max_Speed,103.0,0.21488565525527817,0.0836029052497639,0.087310902016873,0.1578274087919004,0.1959992663200554,0.24541153045433706,0.5139933197046437,0,1.4464503107855748
Left_Speed_Std,103.0,0.03132376703967468,0.010638752465761195,0.0143301964419866,0.02431037379708475,0.0290734406635879,0.0356416319264566,0.0702586669853522,0,1.2207832523554645
Right_Mean_Speed,103.0,0.02240870304812354,0.007127241343141174,0.0109189831366991,0.0173057425693155,0.0212625848759936,0.0255907878354226,0.0435564693015305,0,0.9121163499835981
Right_Median_Speed,103.0,0.01556387991040283,0.004539362060567919,0.0025675422099743,0.013329982375493751,0.0140082140189247,0.0159794453024368,0.0315667670343353,0,1.1898091790024226
Right_Max_Speed,103.0,0.17520177210181487,0.05861654185379138,0.0759278354887059,0.13233117556340165,0.1621315882053833,0.2083208175574503,0.3568906773355112,0,0.8920201457706977
Right_Speed_Std,103.0,0.024943191298347236,0.007437915888256529,0.0120049385847972,0.01971005604748345,0.0237860739633022,0.029868942400498,0.0451127195330193,0,0.6751287798293512
Left_Idle_Ratio,103.0,0.23852840930962632,0.07196582929448296,0.0964550700741962,0.18023697196970145,0.240622788393489,0.29396586065627295,0.3767772511848341,0,-0.10689743534522711
Left_Idle_Time,103.0,22.842718446601936,14.319282836342872,3.6333333333333337,12.533333333333333,22.1,29.53333333333333,106.33333333333331,0,2.157783763513453
Right_Idle_Ratio,103.0,0.15530982087009984,0.05929200126688691,0.0347826086956521,0.11256480266566635,0.1523249599144842,0.1842541983861125,0.3882718791648156,0,0.7936941004335052
Right_Idle_Time,103.0,14.927508090614886,9.08096770440592,1.0666666666666669,8.649999999999999,12.933333333333334,20.56666666666667,55.53333333333333,0,1.1356576079436953
Left_Mean_Acceleration,103.0,0.166343796782552,0.03179574872702451,0.1200243489283517,0.1431259652706704,0.1585656860125069,0.18109377856732412,0.2600402036721428,0,0.9780656871655926
Left_Median_Acceleration,103.0,0.0735716215438073,0.03870973505178009,0.0309568494204199,0.044590406281542,0.060681703187776,0.0937655909323411,0.1922120773997876,0,1.1892861918564532
Left_Max_Acceleration,103.0,1.5335239833525487,0.611941160048796,0.8424692830923701,1.095202857584935,1.3164751465217983,1.8445197118712722,3.881656180237942,0,1.396499922006001
Left_Acceleration_Std,103.0,0.1952374607014346,0.031620250766103204,0.157011822782285,0.17219079850740399,0.1854610424568977,0.2082176040574118,0.2941756861498592,0,1.3203542373792783
Right_Mean_Acceleration,103.0,0.1673439426294679,0.030358298151159504,0.1131274034594878,0.14759298978821767,0.1613373871008626,0.17607870330600345,0.2713646741711635,0,1.3359699749528489
Right_Median_Acceleration,103.0,0.09206178017183175,0.03830176019962012,0.0276254761615638,0.06742636547645955,0.0857851490904945,0.10720399841317654,0.2167135662536267,0,0.9462930334008234
Right_Max_Acceleration,103.0,1.427555606879549,0.5219746335862984,0.6218645750743249,1.0746913683229482,1.3031372115142204,1.6804954013633318,3.6912548607950937,0,1.5331091381914266
Right_Acceleration_Std,103.0,0.18131817869793226,0.02807853779076845,0.1479734455503094,0.16255098094380543,0.1720105338333463,0.19314787452406335,0.2872423511300073,0,1.8471396657189687
Left_Mean_Jerk,103.0,7.859331986001824,1.1626222651121314,5.942358822779812,7.0130906615408275,7.655042973748286,8.358948375047055,11.154494018621923,0,0.7978348030125699
Left_Median_Jerk,103.0,5.508776583616147,1.8705084413097273,2.2336364721753363,4.17674956031102,5.5157307311188,6.816559611488605,9.740903084586584,0,0.1586886940260597
Left_Max_Jerk,103.0,51.79392432915274,17.183665534675367,33.76656946424212,41.27153166478192,46.97233834253163,56.77611398804274,141.63863323644478,0,2.3376199798990123
Left_Jerk_Std,103.0,7.906731739669195,0.7182163489499276,6.7985181009251,7.464158528519549,7.70984769337653,8.083731908663847,10.156282184434067,0,1.479031067615269
Right_Mean_Jerk,103.0,7.936660556657062,1.0267806055576916,5.528494432694202,7.3112045239221155,7.767870248186817,8.206569208626782,11.216007211614889,0,1.1700323014465814
Right_Median_Jerk,103.0,6.0198341014422825,1.3316940094020027,2.0028481474603277,5.284068652757668,5.8644421356273,6.726487121456875,9.359177633480286,0,0.226782345478607
Right_Max_Jerk,103.0,50.117101392761576,16.319975647436948,32.40398921333191,39.53678609864913,44.84283593474811,56.18845113632796,126.17746331016176,0,2.0819448840212313
Right_Jerk_Std,103.0,7.494476511960592,0.6950134774233453,6.6403216845752375,7.032794894401115,7.353444236786452,7.724532423232014,10.438684853378048,0,1.8518898955736167
