file,rows,columns,sampling_frequency_hz,duration_seconds
Knot_Tying_B003.csv,1612,76,30,53.733333333333334
Knot_Tying_B002.csv,1480,76,30,49.333333333333336
Knot_Tying_B001.csv,1735,76,30,57.833333333333336
Knot_Tying_B005.csv,3692,76,30,123.06666666666666
Knot_Tying_B004.csv,1820,76,30,60.666666666666664
Knot_Tying_D001.csv,1399,76,30,46.63333333333333
Knot_Tying_F004.csv,1830,76,30,61.0
Knot_Tying_H001.csv,2459,76,30,81.96666666666667
Knot_Tying_F005.csv,1849,76,30,61.63333333333333
Knot_Tying_D002.csv,1241,76,30,41.36666666666667
Knot_Tying_H002.csv,0,76,30,0.0
Knot_Tying_H003.csv,1635,76,30,54.5
Knot_Tying_D003.csv,1402,76,30,46.733333333333334
Knot_Tying_F002.csv,1012,76,30,33.733333333333334
Knot_Tying_F003.csv,2722,76,30,90.73333333333333
Knot_Tying_D004.csv,1049,76,30,34.96666666666667
Knot_Tying_H004.csv,2251,76,30,75.03333333333333
Knot_Tying_F001.csv,920,76,30,30.666666666666668
Knot_Tying_H005.csv,1952,76,30,65.06666666666666
Knot_Tying_D005.csv,1256,76,30,41.86666666666667
Knot_Tying_C001.csv,1227,76,30,40.9
Knot_Tying_C002.csv,1068,76,30,35.6
Knot_Tying_C003.csv,1073,76,30,35.766666666666666
Knot_Tying_C004.csv,1383,76,30,46.1
Knot_Tying_C005.csv,1150,76,30,38.333333333333336
Knot_Tying_I003.csv,2063,76,30,68.76666666666667
Knot_Tying_E003.csv,1413,76,30,47.1
Knot_Tying_E002.csv,1297,76,30,43.233333333333334
Knot_Tying_I002.csv,2426,76,30,80.86666666666666
Knot_Tying_G005.csv,1696,76,30,56.53333333333333
Knot_Tying_E001.csv,1592,76,30,53.06666666666667
Knot_Tying_G004.csv,3853,76,30,128.43333333333334
Knot_Tying_I001.csv,2329,76,30,77.63333333333334
Knot_Tying_I005.csv,2655,76,30,88.5
Knot_Tying_E005.csv,1257,76,30,41.9
Knot_Tying_E004.csv,1371,76,30,45.7
Knot_Tying_I004.csv,346,76,30,11.533333333333333
Knot_Tying_G001.csv,2369,76,30,78.96666666666667
Knot_Tying_G003.csv,2415,76,30,80.5
Knot_Tying_G002.csv,2282,76,30,76.06666666666666
