file,rows,columns,sampling_frequency_hz,duration_seconds
Needle_Passing_B001.csv,3438,76,30,114.6
Needle_Passing_B002.csv,3177,76,30,105.9
Needle_Passing_B003.csv,3238,76,30,107.93333333333334
Needle_Passing_B004.csv,2888,76,30,96.26666666666667
Needle_Passing_B005.csv,2096,76,30,69.86666666666666
Needle_Passing_H003.csv,3057,76,30,101.9
Needle_Passing_D003.csv,3234,76,30,107.8
Needle_Passing_D002.csv,3285,76,30,109.5
Needle_Passing_H002.csv,3701,76,30,123.36666666666666
Needle_Passing_F005.csv,3402,76,30,113.4
Needle_Passing_D001.csv,4651,76,30,155.03333333333333
Needle_Passing_H001.csv,4390,76,30,146.33333333333334
Needle_Passing_F004.csv,1787,76,30,59.56666666666667
Needle_Passing_H005.csv,3316,76,30,110.53333333333333
Needle_Passing_D005.csv,2124,76,30,70.8
Needle_Passing_D004.csv,2710,76,30,90.33333333333333
Needle_Passing_F001.csv,1871,76,30,62.36666666666667
Needle_Passing_H004.csv,3653,76,30,121.76666666666667
Needle_Passing_F003.csv,2322,76,30,77.4
Needle_Passing_F002.csv,1792,76,30,59.733333333333334
Needle_Passing_C003.csv,3572,76,30,119.06666666666666
Needle_Passing_C002.csv,3613,76,30,120.43333333333334
Needle_Passing_C001.csv,4313,76,30,143.76666666666668
Needle_Passing_C005.csv,2557,76,30,85.23333333333333
Needle_Passing_C004.csv,2431,76,30,81.03333333333333
Needle_Passing_E001.csv,3256,76,30,108.53333333333333
Needle_Passing_I001.csv,5356,76,30,178.53333333333333
Needle_Passing_G004.csv,3845,76,30,128.16666666666666
Needle_Passing_G005.csv,4383,76,30,146.1
Needle_Passing_E002.csv,3802,76,30,126.73333333333333
Needle_Passing_I002.csv,3443,76,30,114.76666666666667
Needle_Passing_I003.csv,4761,76,30,158.7
Needle_Passing_E003.csv,3414,76,30,113.8
Needle_Passing_G002.csv,3317,76,30,110.56666666666666
Needle_Passing_G003.csv,4184,76,30,139.46666666666667
Needle_Passing_E004.csv,3376,76,30,112.53333333333333
Needle_Passing_G001.csv,4704,76,30,156.8
Needle_Passing_I004.csv,3978,76,30,132.6
Needle_Passing_I005.csv,3413,76,30,113.76666666666667
Needle_Passing_E005.csv,3326,76,30,110.86666666666666
