file,rows,columns,sampling_frequency_hz,duration_seconds
Suturing_B001.csv,5635,76,30,187.83333333333334
Suturing_B003.csv,3432,76,30,114.4
Suturing_B002.csv,3445,76,30,114.83333333333333
Suturing_B005.csv,2848,76,30,94.93333333333334
Suturing_B004.csv,3257,76,30,108.56666666666666
Suturing_D002.csv,2214,76,30,73.8
Suturing_H002.csv,1493,76,30,49.766666666666666
Suturing_H003.csv,3395,76,30,113.16666666666667
Suturing_D003.csv,2317,76,30,77.23333333333333
Suturing_D001.csv,2800,76,30,93.33333333333333
Suturing_F004.csv,2373,76,30,79.1
Suturing_H001.csv,5654,76,30,188.46666666666667
Suturing_F005.csv,2039,76,30,67.96666666666667
Suturing_D004.csv,2742,76,30,91.4
Suturing_H004.csv,4094,76,30,136.46666666666667
Suturing_F001.csv,2838,76,30,94.6
Suturing_H005.csv,3436,76,30,114.53333333333333
Suturing_D005.csv,1779,76,30,59.3
Suturing_F002.csv,2375,76,30,79.16666666666667
Suturing_F003.csv,2265,76,30,75.5
Suturing_C002.csv,3267,76,30,108.9
Suturing_C003.csv,3161,76,30,105.36666666666666
Suturing_C001.csv,3180,76,30,106.0
Suturing_C004.csv,2479,76,30,82.63333333333334
Suturing_C005.csv,2577,76,30,85.9
Suturing_G005.csv,2454,76,30,81.8
Suturing_E001.csv,3593,76,30,119.76666666666667
Suturing_G004.csv,2650,76,30,88.33333333333333
Suturing_I001.csv,4316,76,30,143.86666666666667
Suturing_I003.csv,4284,76,30,142.8
Suturing_E003.csv,2605,76,30,86.83333333333333
Suturing_E002.csv,2948,76,30,98.26666666666667
Suturing_I002.csv,4412,76,30,147.06666666666666
Suturing_G003.csv,5211,76,30,173.7
Suturing_G002.csv,3379,76,30,112.63333333333334
Suturing_I005.csv,3773,76,30,125.76666666666667
Suturing_E005.csv,2483,76,30,82.76666666666667
Suturing_E004.csv,2926,76,30,97.53333333333333
Suturing_I004.csv,3730,76,30,124.33333333333333
Suturing_G001.csv,9012,76,30,300.4
